GEN_1:1,"In the beginning, God created the heavens and the earth."
ROM_3:23,"for all have sinned, and fall short of the glory of God;"
ROM_5:8,"But God commends his own love toward us, in that while we were yet sinners, Christ died for us."
ROM_6:23,"For the wages of sin is death, but the free gift of God is eternal life in Christ Jesus our Lord."
ROM_10:13,"For, “Whoever will call on the name of the Lord will be saved.”"
JHN_3:16,"For God so loved the world, that he gave his only born Son, that whoever believes in him should not perish, but have eternal life."
JHN_14:6,"Jesus said to him, “I am the way, the truth, and the life. No one comes to the Father, except through me."
2CO_5:21,"For him who knew no sin he made to be sin on our behalf, so that in him we might become the righteousness of God."
ACT_16:31,"They said, “Believe in the Lord Jesus Christ, and you will be saved, you and your household.”"
REV_20:15,"If anyone was not found written in the book of life, he was cast into the lake of fire."
REV_21:4,"He will wipe away every tear from their eyes. Death will be no more; neither will there be mourning, nor crying, nor pain any more. The first things have passed away.”"
